termino,ocurrencias
gerente,119381
ventas,67445
asistente,64667
recepcionista,57679
mercadotecnia,47225
occ,44122
compras,41927
recursos humanos,41775
almacen,41520
contador,40579
medio tiempo,39640
chofer,38905
toluca,38241
arquitecto,37612
capturista,37215
supervisor,36703
becario,34434
sistemas,32589
auxiliar administrativo,31924
atencion a clientes,31675
calidad,31498
director,31445
mantenimiento,30768
ingeniero,27773
cajero,26924
administracion,26776
logistica,26483
secretaria,26284
auxiliar,24876
soporte tecnico,24338
quimico,23828
call center,22664
psicologia,22504
cobranza,22433
pasante,21801
seguridad,21771
representante medico,21336
contabilidad,21081
abogado,18902
mensajero,18878
alimentos,17791
medico,17180
comunicacion,16989
auxiliar contable,16255
finanzas,15779
administrativo,15560
occ mundial,15393
gerente de ventas,14817
analista,14448
ingeniero industrial,14218
promotor,13503
auditor,12745
qfb,12378
derecho,12189
tecnico,11841
asistente de direccion,11742
coordinador,10741
celaya,10699
soporte,10567
produccion,10527
telemarketing,10484
contralor,10365
almacenista,10143
torreon,9963
coatzacoalcos,9879
jefe,9442
informatica,9419
cajera,9360
trabajo,9154
electronica,9142
credito y cobranza,9018
procesos,8899
manager,8773
arquitectura,8728
seguros,8701
mexicali,8331
bilingue,8276
telecomunicaciones,8207
inventarios,8206
tesoreria,8132
ingeniero civil,8132
ingenieria,7990
practicas,7984
automotriz,7961
tijuana,7891
industrial,7852
telcel,7822
nominas,7818
nocturno,7773
practicante,7707
demostradora,7627
capacitacion,7440
relaciones internacionales,7352
ingles,7333
comercio exterior,7330
java,7177
nomina,7061
vendedor,6883
banamex,6857
